talla,age,Altura,Pecho,Cintura,Cadera,Long_pierna,Peso,public_Bebé,public_Mini,public_Niña&Niño
13 – 14 años,13.5,164,84,71,86,76,50.0,0,0,1
11 – 12 años,11.5,152,79,68,81,71,40.0,0,0,1
10 años,10.0,140,74,65,76,66,31.0,0,0,1
9 años,9.0,134,71,63,73,62,27.0,0,0,1
8 años,8.0,128,68,61,70,58,24.0,0,0,1
7 años,7.0,122,65,59,67,54,22.0,0,0,1
6 años,6.0,116,62,57,64,50,20.0,0,0,1
4 – 5 años,4.5,110,57,54,59,45,18.0,1,0,0
3 – 4 años,3.5,104,56,53,58,41,16.0,1,0,0
2 – 3 años,2.5,98,55,52,57,37,14.0,1,0,0
18 – 24 meses,2.0,92,53,51,55,33,12.5,1,0,0
12 – 18 meses,1.5,86,51,50,53,29,11.0,1,0,0
9 – 12 meses,1.0,80,49,49,51,25,9.5,0,1,0
6 – 9 meses,0.75,74,47,48,49,23,8.0,0,1,0
3 – 6 meses,0.5,68,45,46,47,18,7.5,0,1,0
1 – 3 meses,0.25,62,43,44,45,16,6.0,0,1,0
0 – 1 meses,0.08333333333333333,56,41,42,43,15,5.0,0,1,0
